# step, gen_loss, dis_loss
312, -2.168309E+01, -3.564242E+01
313, -1.833065E+01, -3.559813E+01
314, -1.222502E+01, -3.547838E+01
315, -1.805886E+01, -3.548847E+01
316, -1.985699E+01, -3.537063E+01
317, -1.738221E+01, -3.543172E+01
318, -1.790511E+01, -3.535490E+01
319, -1.947662E+01, -3.532742E+01
320, -1.843717E+01, -3.530405E+01
321, -1.653399E+01, -3.519372E+01
322, -2.484809E+01, -3.518715E+01
323, -1.714075E+01, -3.518961E+01
324, -2.152831E+01, -3.500804E+01
325, -2.244487E+01, -3.508922E+01
326, -1.984197E+01, -3.499620E+01
327, -2.192126E+01, -3.494456E+01
328, -1.836979E+01, -3.497758E+01
329, -1.933805E+01, -3.477246E+01
330, -1.798373E+01, -3.486479E+01
331, -1.832003E+01, -3.484820E+01
332, -1.935992E+01, -3.462619E+01
333, -2.019745E+01, -3.474751E+01
334, -1.890491E+01, -3.473133E+01
335, -2.505674E+01, -3.449583E+01
336, -1.184698E+01, -3.460760E+01
337, -1.353061E+01, -3.455741E+01
338, -1.550713E+01, -3.457378E+01
339, -4.270298E+00, -3.429433E+01
340, -1.864101E+01, -3.447715E+01
341, -1.870967E+01, -3.433468E+01
342, -1.951884E+01, -3.441230E+01
343, -1.887649E+01, -3.427633E+01
344, -1.785321E+01, -3.434297E+01
345, -1.799027E+01, -3.423296E+01
346, -1.449419E+01, -3.423156E+01
347, -1.662102E+01, -3.422272E+01
348, -1.962886E+01, -3.400493E+01
349, -2.023703E+01, -3.412565E+01
350, -1.736287E+01, -3.410682E+01
351, -1.853799E+01, -3.387918E+01
352, -1.601291E+01, -3.404117E+01
353, -2.137621E+01, -3.377927E+01
354, -2.257535E+01, -3.394519E+01
355, -1.686897E+01, -3.392757E+01
356, -2.619935E+01, -3.374176E+01
357, -1.841026E+01, -3.385250E+01
358, -1.809104E+01, -3.362173E+01
359, -1.736730E+01, -3.377218E+01
360, -2.011781E+01, -3.356900E+01
361, -1.674336E+01, -3.368716E+01
362, -1.152853E+01, -3.348020E+01
363, -1.834664E+01, -3.362099E+01
364, -1.689259E+01, -3.352503E+01
365, -1.550044E+01, -3.354467E+01
366, -1.647462E+01, -3.351904E+01
367, -1.938784E+01, -3.343267E+01
368, -1.144871E+01, -3.342900E+01
369, -1.242435E+01, -3.334538E+01
370, -1.665030E+01, -3.336534E+01
371, -1.621204E+01, -3.318446E+01
372, -1.749303E+01, -3.330411E+01
373, -1.788853E+01, -3.325927E+01
374, -1.897971E+00, -3.321159E+01
375, -7.351363E+00, -3.301959E+01
376, -1.380268E+01, -3.312555E+01
377, -1.554691E+01, -3.313519E+01
378, -1.398962E+01, -3.283794E+01
379, -1.877172E+01, -3.302660E+01
380, -1.736588E+01, -3.302742E+01
381, -1.736803E+01, -3.276267E+01
382, -1.789355E+01, -3.290802E+01
383, -2.236042E+01, -3.291611E+01
384, -2.126838E+01, -3.266925E+01
385, -2.154150E+01, -3.283066E+01
386, -2.055975E+01, -3.276986E+01
387, -1.992690E+01, -3.277569E+01
388, -1.996170E+01, -3.275111E+01
389, -3.303855E+01, -3.263620E+01
390, -1.737976E+01, -3.267947E+01
391, -2.136048E+01, -3.264594E+01
392, -2.717524E+01, -3.258813E+01
393, -2.019427E+01, -3.258016E+01
394, -2.172870E+01, -3.252750E+01
395, -1.733734E+01, -3.248460E+01
396, -1.772623E+01, -3.244833E+01
397, -2.497406E+01, -3.239230E+01
398, -2.256262E+01, -3.241972E+01
399, -1.414562E+01, -3.221944E+01
400, -1.889448E+01, -3.234272E+01
401, -1.658403E+01, -3.223328E+01
402, -1.989955E+01, -3.227552E+01
403, -1.816735E+01, -3.207406E+01
404, -1.916008E+01, -3.221440E+01
405, -2.047485E+01, -3.206964E+01
406, -1.622890E+01, -3.214562E+01
407, -1.925049E+01, -3.209518E+01
408, -2.179401E+01, -3.205140E+01
409, -1.625731E+01, -3.200814E+01
410, -2.326786E+01, -3.200388E+01
411, -2.133284E+01, -3.192588E+01
412, -1.809095E+01, -3.195771E+01
413, -2.016769E+01, -3.181697E+01
414, -1.962508E+01, -3.188958E+01
415, -2.053577E+01, -3.172603E+01
416, -1.955579E+01, -3.183716E+01
417, -1.977857E+01, -3.177348E+01
418, -1.395950E+01, -3.171165E+01
419, -1.888448E+01, -3.173440E+01
420, -1.619446E+01, -3.167589E+01
421, -1.836849E+01, -3.165885E+01
422, -1.978707E+01, -3.163550E+01
423, -1.888081E+01, -3.152808E+01
424, -2.183627E+01, -3.158854E+01
425, -1.628098E+01, -3.135431E+01
426, -2.317546E+01, -3.152341E+01
427, -2.214245E+01, -3.139533E+01
428, -2.609965E+01, -3.145786E+01
429, -2.177671E+01, -3.122558E+01
430, -2.208761E+01, -3.140072E+01
431, -2.482278E+01, -3.130862E+01
432, -2.294802E+01, -3.135552E+01
433, -2.041892E+01, -3.125152E+01
434, -1.949262E+01, -3.128923E+01
435, -1.829936E+01, -3.124538E+01
436, -2.306574E+01, -3.105150E+01
437, -2.143445E+01, -3.120702E+01
438, -2.222081E+01, -3.116696E+01
439, -2.285749E+01, -3.108165E+01
440, -2.448244E+01, -3.110967E+01
441, -1.568414E+01, -3.091394E+01
442, -2.161468E+01, -3.104765E+01
443, -1.975027E+01, -3.098708E+01
444, -2.077152E+01, -3.096608E+01
445, -2.001289E+01, -3.095619E+01
446, -1.709182E+01, -3.091788E+01
447, -2.080182E+01, -3.090193E+01
448, -2.243486E+01, -3.083317E+01
449, -1.651552E+01, -3.084137E+01
450, -1.377239E+01, -3.076803E+01
451, -1.836154E+01, -3.079200E+01
452, -1.956596E+01, -3.058533E+01
453, -1.860124E+01, -3.075182E+01
454, -2.132934E+01, -3.072790E+01
455, -2.219522E+01, -3.039074E+01
456, -2.364540E+01, -3.065784E+01
457, -2.030283E+01, -3.063872E+01
458, -1.992385E+01, -3.039623E+01
459, -1.943084E+01, -3.057905E+01
460, -1.653938E+01, -3.046497E+01
461, -2.162087E+01, -3.052814E+01
462, -2.362861E+01, -3.037787E+01
463, -1.956930E+01, -3.047528E+01
464, -1.801968E+01, -3.039039E+01
465, -2.263204E+01, -3.040710E+01
466, -2.407887E+01, -3.031613E+01
467, -1.924510E+01, -3.037060E+01
468, -2.354838E+01, -3.023754E+01
469, -1.870427E+01, -3.028601E+01
470, -2.279871E+01, -3.024518E+01
471, -2.249414E+01, -3.023277E+01
472, -1.990792E+01, -3.019066E+01
473, -2.043272E+01, -3.021700E+01
474, -2.043947E+01, -3.018810E+01
475, -2.089827E+01, -2.997890E+01
476, -1.865846E+01, -3.012370E+01
477, -2.007645E+01, -3.009730E+01
478, -2.611805E+01, -3.005924E+01
479, -2.061173E+01, -3.005121E+01
480, -2.800591E+01, -2.998637E+01
481, -1.713772E+01, -2.999872E+01
482, -2.000176E+01, -2.996551E+01
483, -2.033653E+01, -2.994459E+01
484, -2.042827E+01, -2.987428E+01
485, -2.075438E+01, -2.990450E+01
486, -2.756569E+01, -2.976030E+01
487, -2.233606E+01, -2.978349E+01
488, -1.919550E+01, -2.982733E+01
489, -1.862786E+01, -2.977254E+01
490, -1.963631E+01, -2.979358E+01
491, -1.831703E+01, -2.975840E+01
492, -1.548851E+01, -2.960295E+01
493, -1.724145E+01, -2.970128E+01
494, -2.014301E+01, -2.970677E+01
495, -2.001211E+01, -2.945547E+01
496, -1.455966E+01, -2.962838E+01
497, -1.546415E+01, -2.961944E+01
498, -2.736668E+01, -2.950159E+01
499, -1.829090E+01, -2.958761E+01
500, -1.802682E+01, -2.956186E+01
501, -1.460934E+01, -2.948313E+01
502, -8.439472E+00, -2.940179E+01
503, -2.016084E+01, -2.946859E+01
504, -1.644987E+01, -2.945027E+01
505, -1.863121E+01, -2.939314E+01
506, -1.913081E+01, -2.940604E+01
507, -1.989612E+01, -2.930695E+01
508, -1.802048E+01, -2.936767E+01
509, -1.553546E+01, -2.923331E+01
510, -1.916136E+01, -2.931803E+01
511, -1.410499E+01, -2.920667E+01
512, -1.882643E+01, -2.924107E+01
513, -1.661797E+01, -2.924211E+01
514, -1.852430E+01, -2.918627E+01
515, -2.040643E+01, -2.920565E+01
516, -2.246305E+01, -2.907241E+01
517, -1.960896E+01, -2.914709E+01
518, -1.871071E+01, -2.905781E+01
519, -2.055654E+01, -2.910329E+01
520, -2.068483E+01, -2.896332E+01
521, -1.859141E+01, -2.907047E+01
522, -1.906930E+01, -2.900022E+01
523, -1.267901E+01, -2.901566E+01
524, -1.986914E+01, -2.900175E+01
525, -1.969127E+01, -2.879987E+01
526, -1.979812E+01, -2.895610E+01
527, -2.002908E+01, -2.887190E+01
528, -1.899186E+01, -2.891965E+01
529, -1.949719E+01, -2.889716E+01
530, -2.523145E+01, -2.857663E+01
531, -1.625398E+01, -2.885321E+01
532, -1.923069E+01, -2.883881E+01
533, -2.054140E+01, -2.856594E+01
534, -2.011448E+01, -2.879008E+01
535, -2.064917E+01, -2.877513E+01
536, -2.086546E+01, -2.874831E+01
537, -1.977022E+01, -2.869331E+01
538, -2.045333E+01, -2.870896E+01
539, -2.016137E+01, -2.866463E+01
540, -1.619451E+01, -2.865031E+01
541, -2.315259E+01, -2.863065E+01
542, -1.656149E+01, -2.858224E+01
